CHR                            HASH SHA256
ij -- c9df9c3f2963b19b9b95f58c4d33b053fa9f8586dd6ee04126e52a868f882108
ik -- 72a7ab318788b3628e9f10ad3dcb0ee63eeb1dd0ce0f246fdab0740a391f8fae
il -- a0fb903525dc10dccaa4bd72bed4fe5b24ae8346b8a7343edce84172feb7085a
im -- a898df22bfc74a1ae298c73211ab3b319e5b8da7543d6cd002a8dc4f8723be43
in -- 582967534d0f909d196b97f9e6921342777aea87b46fa52df165389db1fb8ccf
io -- 4021fadf187fd2c8277aad0fbc5e8fc4e7f1c75fbb38b6337160f125444790b2
ip -- bb9af5d1915da1fbc132ced081325efcd2e63e4804f96890f42e9739677237a4
iq -- 6b0b190a13b8ef02acba8b0fe2d8a571f086fd3fd0d59717828db33953de6e78
ir -- 08c85bd37cdd0ffce8c39ecd7c7f0ff94e6f45af2aa986673b0c9f1a8a2fffea
is -- fa51fd49abf67705d6a35d18218c115ff5633aec1f9ebfdc9d5d4956416f57f6
it -- 2ad8a7049d7c5511ac254f5f51fe70a046ebd884729056f0fe57f5160d467153
iu -- fe9e123b30d7ded2b7426f11d57bf1272d4a4a15ee8534b01bb8e6a8d5465581
iv -- 0ab306823035661bb8dba21cc25352319fe2a28eccdad81eaaaf7356ead6bf19
iw -- 0ef0102ed9e89adae2ece5540f6af13f4ca93afd305d7dd4696d9db46c3f2f78
ix -- ed171375d0bf81eaa5512140c3a29b8ffcb06a3337176fb28843c2cf7351bfff
iy -- 5b7dd04f9bc3cb558793cca5fbc5ed6093cc04fba894b6859ae0cd11ab60f329
iz -- a93c5a18c1c1da1c799d05b4be13c8de48b5fb5db7d686c3356614cf21ae7855
----------------------------------------------------------------------
ja -- 3702fc1866630796050c50e9c829bd32fde7cc4c883f28e3e4ca430307c485b0
jb -- da114fe251e57acdab774919e86f16f09e9341d913db8ad4ae808ac63ea9f2c7
jc -- 9f1c9ed30e18c43065c407b436df0ac3d4962085a78cb40e94bd70be1d2cfbb1
jd -- ad3e69e9aa860657cc6476770fe253d08198746b9fcf9dc3186b47eb85c30335
je -- 9e507a6dfbf98393bbf23d487af7f1c5b2e8ea0635e3f0cddeac3a9a090a3dbe
jf -- ba19ebbc3493f16045d196ecddceef7ef4a0776059ca8aebce75b2dd6f556716
jg -- f51aeff965a68e6abedade9e440808735677831677c7c4db564e5db54a083c93
jh -- 8833cb57eb821d629899ba0015aec1aa8efc7c2472f0590bedd1cebe28107cd6
ji -- bddf2d2528c7bbf509403a66f7f90222904c6dacdd7191089e0e4ad9ff2f05f7
jj -- de3bbd0fd7945e42581643b18cdf28dd3ed61d9c3d541b7b016081564b65a3f3
jk -- 31b25869b39f1baa9e7fc279255901b696c36629e57294d4455f479534139852
jl -- be94582fdd5e64636ece129a82671fef23144da629cba92d4f4458262bf8c339
jm -- 9edc391f9b3e2cde722b0ee2fe0daab004191dac3fbf48c5cfb487b28d09c70e
jn -- f94e292b42137e8bc2ae4008304d17d3ab6eaec01b307662d16c8ec6371ef58c
jo -- c278ec5a69c34aace42773e41b1163e6ce40c906f2a14f807d39d1b2a1c2dff5
jp -- 9732c83e3e03fffde2ee65a9d826df8c4dd623c27fb92b952fe62a02f0726f87
jq -- c84d384f2a25cca2a8fde5eb61b0f81f728e5f778a232211b176ea80143877bc
jr -- f04a21f9e1c244d59df2255328fb2684c83f51c09e3c53108ed766681b5f4c84
js -- 16cedf80ade01c62bdd1ae931d0492330c0b62bf294c08c095ce2fab21a9298d
jt -- f6c08823b6875e909510804d1db4b278e34f9ce2415484226497ee80931e42a8
ju -- 27c47b28fb5f4545bda5d276ab55d84ccf9cc790581904c72fecdb4d623ce049
jv -- 90f9fcd38b2e58cc85b45d05d45467639ed0620c39befce620069cfd54498ef8
jw -- e1695b5027ae4428de0be1bc828cd1ebcd87652ec79bfd09e2194dadc2e4031e
jx -- 7102152f55997f1cd5d2075c9f2de834970fb1ed9ddde80d3b8a2886cb4b5b76
jy -- 4c5ebcb57b64b15dbbe83c978831cada8722f0b26af56b22b4a47ce1ce418760
jz -- 81571a798f84deaa10fb00c43bea291b760ffc7a8cbed0b4be3f9cb3e17edd6e
----------------------------------------------------------------------
ka -- 3ebb1c99b12b77463e97c3a0f206e4fd46176cd1b8e183816a67338c04b25e5b
kb -- 74fec0c33e96ab90ac88666979207a50a6ea7b9b3eea6ec0e8b916d64c0a0706
kc -- ad9cdbefb70da610b07dcc613934052a0996f5c0da58a2d9632ec966361de506
kd -- f66025c51e65b02ffdaf55ea9460656a0b79598cb7db1514dc7a23a81b4cf1aa
ke -- 8e5202705183bd3a20a29e224499b0f77a8273ee33cd93cca71043c57ad4bdfc
kf -- fa37be71bea1abe989546295b5d10f6a34598aa7ce90cfed1f870131e8e30c9e
kg -- 131ed734290d30f32aedb3548cc92b420b3760571fb0e655084b48b31043106c
kh -- 1fcff1fe7e601e10bb94291b44e0c531fd855f5c9335805f1f7865b576c21828
ki -- 2b84b2a9020f8b086b7709581ca4586a459938f80e0393abce3840dba921694a
kj -- 46874106f9ac7f3b68a422895aa223e1ea5ed0db860f179f6362cb166c65f8ca
kk -- ad370ed99b189921e7fe26057c40aab9f4fee8385e47606f50f348b9a5530af0
kl -- d3f3fa6892497db10a2417fce9b553464cc5d07718419de8b67e73e460c7daab
km -- 1f34503f65b4a355a94ee54da8e34541007cc66ec548c61b8dafbea21a1a0787
kn -- 0f2ac564966850ce907c38a877cbec2dad070c0407d581d819d2439f179dda93
ko -- 1fdbc74ccfd68d0714ae539c0d93f2f3a1805387632eca33d3bd6a5013afb13e
kp -- 5147a6de6c26ca2472e0b20e803a1ba7fe6643775294aa714b6263bf176c37d1
kq -- ee68759e9670e5201c197a2f2b0b3dc4cc7d8c3762ad942df8a125d4cc8aa031
kr -- d5647005d31dcbb66ff531c5e097544a03558bc538b9c65ee2539594886ffbc0
ks -- 59548661e252a6f235e5d2da3e691a4d02d3729716a025f19de0af07638a70d3
kt -- 99d3fd0fa8fe115ef5983b5472cc95a88f2790a6fa89f8785da5afbe7b548bba
ku -- 88d178d728e8394f3bddcbf9718730f9c0b5b6ce689d99a5146ba9a9d02b4b1b
kv -- 379f1b10a1c750842d937eb3143098d3775d0b10bfad08e0aea86c892ef858df
kw -- 103c54b6c5b1ad282520a33d86320b77259e797cabe194b9200fb23d965561a3
kx -- 658447540603e4b7eaf861247e5ca182718bf9001fc67d18f37331415aefa4d1
ky -- 2076584e3f0868e790b7c97905f0d75a1af62da4f2ee3fba3db40504a686307c
kz -- 63f2d8699938005b9812964d1297ccf82664d962f907052e92b3d40be7ee4b1e
----------------------------------------------------------------------
la -- b737ca7ee563ae80e457bb3d1dfe64edd2b4c015a8f88b6f87d5c113b68897fd
lb -- fd26db45a8b53034aa38939294bb619aebfc5739f35d25be34583fca6480a2d7
